id,start,end,event_type,event_priority,hyper_count,vul_count,ip1,ip2,ip3,ip4,ip5,ip6,ip_order,ty1,ty2,ty3,ty4,ty5,ty6,ty_order
217,40:45.0,52:30.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
218,43:16.0,56:00.0,detect,0,6,0,10.10.13.23,192.168.20.94,192.168.20.94,10.10.13.23,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.94192.168.20.9410.10.13.23192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
219,43:16.0,43:16.0,detect,0,1,0,192.168.20.94,-1,-1,-1,-1,-1,192.168.20.94-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
220,43:16.0,43:16.0,detect,0,1,0,10.10.13.23,-1,-1,-1,-1,-1,10.10.13.23-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
221,43:16.0,43:16.0,detect,0,1,0,192.168.20.94,-1,-1,-1,-1,-1,192.168.20.94-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
222,45:05.0,58:30.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
223,45:05.0,45:05.0,detect,0,1,0,192.168.20.94,-1,-1,-1,-1,-1,192.168.20.94-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
224,45:05.0,45:05.0,detect,0,1,0,10.10.13.23,-1,-1,-1,-1,-1,10.10.13.23-1-1-1-1-1,非法连接,-1,-1,-1,-1,-1,非法连接-1-1-1-1-1
225,52:02.0,00:52.0,detect,0,10,0,10.10.13.23,192.168.20.94,192.168.20.94,10.10.13.23,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.94192.168.20.9410.10.13.23192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
226,52:31.0,07:30.0,detect,0,6,0,10.10.13.23,192.168.20.94,10.10.13.23,192.168.20.94,192.168.20.199,10.10.13.23,10.10.13.23192.168.20.9410.10.13.23192.168.20.94192.168.20.19910.10.13.23,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接,非法连接非法连接非法连接非法连接非法连接非法连接
